name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bergstrom International Airport, Austin, Texas",2021-11-24,76.9,49.9,64.3,76.9,49.3,64.3,57.5,80.4,0.036,100,12.5,rain,0,0,31.1,20.8,176.2,1016,84.6,9.5,81.3,6.8,4,,2021-11-24T07:03:58,2021-11-24T17:30:49,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-11-25,67.9,49.9,59.8,67.9,46.2,59.6,45.4,62.6,0.252,100,8.33,rain,0,0,34.3,21.9,352.3,1023.2,78.4,9,78.8,6.7,5,,2021-11-25T07:04:48,2021-11-25T17:30:37,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-11-26,55.1,45,49.4,55.1,38.9,46.8,30.6,49.5,0,0,0,,0,0,24.2,16.1,11,1026.7,84.1,9.9,80.1,6.9,4,,2021-11-26T07:05:38,2021-11-26T17:30:26,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-11-27,51.2,46.1,48.9,51.2,42.6,48.1,45.5,88.4,0.466,100,41.67,rain,0,0,19.5,6.9,180.2,1020.8,98,5.6,15.3,1.3,1,,2021-11-27T07:06:27,2021-11-27T17:30:16,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72253912979,KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-11-28,70.1,44.1,54.7,70.1,42.6,54.6,46.8,78.5,0,0,0,,0,0,24.2,15,3.2,1022.1,59.5,8.1,123.8,10.8,6,,2021-11-28T07:07:17,2021-11-28T17:30:09,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-11-29,71.1,38.9,53.2,71.1,37.8,52.7,39.9,65.7,0,0,0,,0,0,18.3,11.4,210.8,1022.6,22,9.9,150.6,13.1,6,,2021-11-29T07:08:06,2021-11-29T17:30:03,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,KEDC,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-11-30,74,39.8,55.7,74,39.8,55.3,47.6,77.2,0,0,0,,0,0,20.4,13.9,188,1019.9,63.3,9.9,129.8,11.3,6,,2021-11-30T07:08:54,2021-11-30T17:29:59,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-01,75.8,46.1,59.4,75.8,46.1,59.4,54.4,85.6,0,0,0,,0,0,17.2,9.2,218.8,1019.8,62.3,7.1,134,11.6,5,,2021-12-01T07:09:42,2021-12-01T17:29:57,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-02,78.2,47.9,60.7,78.2,47.9,60.6,57.2,90.1,0,0,0,,0,0,17.4,12.7,201.8,1020,53.7,7,109.5,9.3,6,,2021-12-02T07:10:30,2021-12-02T17:29:56,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-12-03,75.8,56,66.1,75.8,56,66.1,63.6,92.4,0.063,100,8.33,rain,0,0,18.8,11.4,190,1016.7,70.4,6.6,47.7,4.1,3,,2021-12-03T07:11:17,2021-12-03T17:29:57,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-04,75.8,61.1,68.5,75.8,61.1,68.5,63.6,85.4,0,0,0,,0,0,16.3,11.4,189.8,1016.9,89.8,9.2,78,6.8,4,,2021-12-04T07:12:03,2021-12-04T17:30:00,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-05,78.2,57.8,71.1,78.2,57.8,71.1,66,84.6,0,0,0,,0,0,27.7,18.3,184.2,1013.3,97.5,9.8,67.9,5.8,3,,2021-12-05T07:12:49,2021-12-05T17:30:04,0.05,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-06,72,47.9,62.7,72,43.4,62.3,47.2,60.9,0,0,0,,0,0,33.3,25.3,356.7,1017.5,89.8,9.7,81.3,7,4,,2021-12-06T07:13:35,2021-12-06T17:30:10,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-07,67.9,39.8,51.9,67.9,34.4,50.3,33.8,52,0,0,0,,0,0,17.2,11.4,242.6,1017.2,36.7,9.9,128.5,11.1,5,,2021-12-07T07:14:19,2021-12-07T17:30:18,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,72064800230,C2969,KEDC,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-12-08,78.2,38.9,57.9,78.2,36.5,57.6,46.2,70.8,0,0,0,,0,0,17,10.3,166,1015.1,27.8,9.9,140.9,12.3,6,,2021-12-08T07:15:03,2021-12-08T17:30:27,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-09,79.1,60.2,67,79.1,60.2,67,63.3,88.9,0,0,0,,0,0,26.4,16.1,197.2,1011.5,80.3,5.2,71.7,6.1,4,,2021-12-09T07:15:46,2021-12-09T17:30:39,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,72064800230,C2969,KEDC,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-12-10,84.8,67.9,74.8,87,67.9,75.4,68.2,81.8,0,0,0,,0,0,30,17.2,192.5,1007.3,75.6,7.8,95.5,8.1,5,,2021-12-10T07:16:28,2021-12-10T17:30:51,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-11,74,37.1,56,74,34.7,55.5,32.2,43.2,0,0,0,,0,0,41.4,28.8,0.8,1020.5,91.8,9.9,79.2,6.8,3,,2021-12-11T07:17:10,2021-12-11T17:31:06,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-12,61.1,28.1,42.9,61.1,26.5,42.2,29.4,64.3,0,0,0,,0,0,12.3,6.9,110.2,1025.5,9.5,9.8,140.9,12.2,6,,2021-12-12T07:17:50,2021-12-12T17:31:22,0.28,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,C2969,KEDC,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-13,64.1,38.9,52.3,64.1,38.9,52.3,44.3,76.3,0,0,0,,0,0,11.2,8.1,121.4,1023.5,77.6,8.4,49.8,4.2,3,,2021-12-13T07:18:30,2021-12-13T17:31:39,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,KEDC,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-14,74,57.8,64.9,74,57.8,64.9,63,93.9,0.012,100,4.17,rain,0,0,28.9,18.3,173.3,1021.7,97,4.3,44.2,3.9,3,,2021-12-14T07:19:09,2021-12-14T17:31:59,0.35,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-15,80.1,69.2,73.2,82.2,69.2,73.3,66.8,81.2,0,0,0,,0,0,33.3,25.3,174,1016.5,84.7,9.9,69.8,6,3,,2021-12-15T07:19:46,2021-12-15T17:32:19,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-16,81,70.1,73.9,82.9,70.1,74.1,66.8,79.4,0,0,0,,0,0,27.5,16.1,177,1014.6,85.5,9.9,38.9,3.1,2,,2021-12-16T07:20:23,2021-12-16T17:32:42,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,KEDC,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-17,78.2,70.1,73.2,78.2,70.1,73.2,66.6,80.2,0,0,0,,0,0,31.5,21.9,169.8,1012.9,94.4,9.9,64.4,5.6,3,,2021-12-17T07:20:58,2021-12-17T17:33:06,0.45,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-18,72,48.8,60,72,43.1,59.5,52.2,76.4,1.149,100,33.33,rain,0,0,34.2,21.9,1.9,1016.7,95.4,8.7,28.3,2.3,2,,2021-12-18T07:21:32,2021-12-18T17:33:31,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-19,55.1,39.8,47,55.1,31.3,42.7,30.2,53.4,0.02,100,4.17,rain,0,0,26.5,19.7,11,1025.8,75.2,9.9,119.8,10.2,5,,2021-12-19T07:22:05,2021-12-19T17:33:57,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-20,58.9,38.9,48.3,58.9,38.9,47.2,36.6,65.8,0,0,0,,0,0,12.5,6.9,51.1,1022.5,51.6,9.9,126.2,10.7,5,,2021-12-20T07:22:37,2021-12-20T17:34:26,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-21,65.9,35.1,48.5,65.9,33.4,47.8,41,77.5,0,0,0,,0,0,15.7,12.7,194.2,1019.7,21,9.9,137.1,11.9,6,,2021-12-21T07:23:08,2021-12-21T17:34:55,0.59,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,KEDC,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-22,74,42.2,57.6,74,40.4,57,49.1,76,0,0,0,,0,0,21.9,13.9,173.4,1016.5,33.5,9.9,141,12.1,6,,2021-12-22T07:23:37,2021-12-22T17:35:26,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-23,71.1,45,60.3,71.1,45,60.3,56.3,87.4,0,0,0,,0,0,28,17.2,191.5,1016.8,54.2,7.8,55.5,4.6,3,,2021-12-23T07:24:05,2021-12-23T17:35:58,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-24,79.1,57.8,66.4,79.1,57.8,66.4,60.2,81.9,0,0,0,,0,0,35.8,20.8,191.1,1012.4,49.6,9.9,89.8,7.7,5,,2021-12-24T07:24:31,2021-12-24T17:36:32,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-25,78.2,56,67.4,78.2,56,67.4,61.9,83.7,0,0,0,,0,0,27.7,17.2,194.7,1011.9,73.5,9.4,87.3,7.5,5,,2021-12-25T07:24:56,2021-12-25T17:37:06,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-26,76.9,53.1,65.7,76.9,53.1,65.7,62,88.9,0,0,0,,0,0,28.2,18.3,188.1,1012.3,73.6,5.4,59.6,5,4,,2021-12-26T07:25:20,2021-12-26T17:37:42,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,KEDC,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-27,80.1,66.8,70.9,81.4,66.8,71,63.5,78.8,0,0,0,,0,0,25.3,17.2,184.3,1009.7,71.4,9.9,72.5,6.3,4,,2021-12-27T07:25:42,2021-12-27T17:38:19,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-28,73.1,56.9,67.6,73.1,56.9,67.6,62.7,84.9,0,0,0,,0,0,24.8,16.1,194.7,1005.1,83,9.4,36,2.9,2,,2021-12-28T07:26:03,2021-12-28T17:38:58,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KRYW,KAUS,72064800230,C2969,KEDC,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-12-29,81,54,68.2,82.9,54,68.4,61.9,82.3,0,0,0,,0,0,24.8,11.4,224.3,1006.9,76.8,5.8,97.6,8.5,5,,2021-12-29T07:26:23,2021-12-29T17:39:37,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-12-30,82.1,52.1,65.2,82.8,52.1,65.3,58.1,80.1,0,0,0,,0,0,14.5,10.3,170.1,1011.1,71.8,9.6,110.4,9.5,5,,2021-12-30T07:26:40,2021-12-30T17:40:17,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-12-31,83,62.1,71.1,84.8,62.1,71.4,65.9,85.2,0,0,0,,0,0,28.9,17.2,179.1,1007.1,88.6,5.8,57.8,4.9,3,,2021-12-31T07:26:57,2021-12-31T17:40:59,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2022-01-01,78.2,40.9,69.9,78.2,30.8,69.2,60.3,72.9,0,0,0,,0,0,38,28.8,175.6,1004.7,89.2,9.2,56.5,4.9,2,,2022-01-01T07:27:11,2022-01-01T17:41:41,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-02,47,25.1,34.9,39.5,12.4,25.7,17.9,51.4,0.012,100,4.17,"rain,snow",0,0,38,27.7,339,1027.9,25.6,9.9,145.3,12.6,6,,2022-01-02T07:27:24,2022-01-02T17:42:24,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KATT,KAUS,72064800230,C2969,KEDC,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-03,56,21.8,36.5,56,21.8,36.1,20.4,58.5,0,0,0,,0,0,13.6,6.9,167,1031.7,9.4,9.9,146.8,12.6,6,,2022-01-03T07:27:36,2022-01-03T17:43:08,0.03,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-04,66.8,28.1,47.1,66.8,27.3,46,33.4,62.1,0,0,0,,0,0,35.9,18.3,201,1020.8,28.8,9.9,143.1,12.4,6,,2022-01-04T07:27:46,2022-01-04T17:43:54,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,KEDC,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-05,73.1,37.1,53.5,73.1,36.7,52.6,37.8,63.1,0,0,0,,0,0,15.7,6.9,278,1012.8,7.3,9.8,142.7,12.2,6,,2022-01-05T07:27:54,2022-01-05T17:44:39,0.1,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-06,56,30.8,43.2,56,27.5,40,28.8,61.1,0,0,0,,0,0,32.2,23,358.8,1017.5,9.4,9.9,142.5,12.1,6,,2022-01-06T07:28:01,2022-01-06T17:45:26,0.13,Clear,Clear conditions throughout the day.,clear-day,"72253912979,KATT,KAUS,72064800230,C2969,KEDC,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2022-01-07,39.8,28.1,35.3,39.8,20.1,30.1,25.9,69.6,0.012,100,4.17,rain,0,0,17.2,15,14.2,1023.1,67.2,8.1,42.5,3.6,2,,2022-01-07T07:28:06,2022-01-07T17:46:13,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-08,64.1,40.9,52.7,64.1,39.3,52.4,51.5,95.5,0.196,100,37.5,rain,0,0,18.3,10.3,204.6,1016.2,100,3.2,32.1,2.8,1,,2022-01-08T07:28:09,2022-01-08T17:47:01,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2022-01-09,65,48.8,57,65,42.4,56.7,46.5,70,0,0,0,,0,0,31.1,19.7,339.8,1023.7,85.6,9.9,119.8,10.4,5,,2022-01-09T07:28:11,2022-01-09T17:47:50,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-10,57.8,40.9,48.6,57.8,31.5,43.8,24.9,40.7,0,0,0,,0,0,31.1,21.9,7.7,1035.1,74.1,9.9,127.3,11,5,10,2022-01-10T07:28:11,2022-01-10T17:48:39,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2022-01-11,51.2,38.9,44.2,51.2,33.3,41.2,27.6,53.6,0,0,0,,0,0,11.2,12.7,19.2,1033.9,95,9.9,29.3,2.7,1,10,2022-01-11T07:28:09,2022-01-11T17:49:28,0.29,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-12,63,35.2,48.6,63,35.2,47.9,37.3,67.6,0,0,0,,0,0,10.5,8.1,110.2,1026.7,57.9,9.9,129.5,11.2,6,10,2022-01-12T07:28:06,2022-01-12T17:50:19,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2022-01-13,74.9,30.8,49.6,74.9,28.7,48.9,32.8,61.1,0,0,0,,0,0,20.8,9.2,290.1,1021.6,13.7,9.9,147.4,12.8,6,10,2022-01-13T07:28:01,2022-01-13T17:51:09,0.36,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-14,76.9,33.2,53.8,76.9,33.2,53.7,34.3,55.9,0,0,0,,0,0,30,20.8,194.9,1013.1,37.7,9.9,147.8,12.6,6,10,2022-01-14T07:27:54,2022-01-14T17:52:00,0.39,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-15,63,42.2,49.4,63,33.7,44.4,23.5,36.7,0,0,0,,0,0,46.1,30,328.9,1019.9,47.1,9.9,142.5,12.4,6,10,2022-01-15T07:27:45,2022-01-15T17:52:51,0.43,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-16,62.1,33.2,43.6,62.1,28.8,40.5,20.3,42.9,0,0,0,,0,0,28.9,17.2,316.7,1021.1,4.2,9.9,153.3,13.3,6,10,2022-01-16T07:27:35,2022-01-16T17:53:43,0.46,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-17,69.2,33.2,46.3,69.2,31.2,45.5,24.7,47.2,0,0,0,,0,0,18.6,12.7,165.6,1019.8,12.5,9.9,153.4,13.2,6,10,2022-01-17T07:27:24,2022-01-17T17:54:35,0.5,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-18,74.9,29,54,74.9,29,53.9,41.6,65.7,0,0,0,,0,0,31.4,21.9,193.7,1015.2,47,9.9,117.4,10.3,5,10,2022-01-18T07:27:10,2022-01-18T17:55:27,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-19,78.2,46.1,64.5,78.2,37.9,64.2,53.6,70.9,0,0,0,rain,0,0,39.1,30,318.1,1013.5,70.5,9.6,95.3,8.2,6,30,2022-01-19T07:26:55,2022-01-19T17:56:20,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2022-01-20,43.1,31.9,35.4,35.5,19.7,24.6,18.7,50.6,0.012,100,4.17,"rain,snow,ice",0,0,38,26.4,357.3,1028.5,96.4,9.9,42.4,3.7,2,10,2022-01-20T07:26:38,2022-01-20T17:57:12,0.6,"Snow, Rain, Ice, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"72253912979,KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2022-01-21,47.9,26.1,35.4,43.4,15.7,28.4,12,39.6,0,0,0,,0,0,24.2,18.3,12.7,1030,35,9.9,154.8,13.3,6,10,2022-01-21T07:26:20,2022-01-21T17:58:05,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-22,54,20,36.2,54,13.2,34.3,19.5,56.5,0,0,0,,0,0,18.3,11.4,23.8,1030.6,20.9,9.9,156.9,13.5,6,10,2022-01-22T07:26:00,2022-01-22T17:58:58,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-23,57.8,43.1,49.8,57.8,42.7,49.7,29.2,46.6,0,0,0,,0,0,9.8,8,213.6,1024.3,100,9.9,57.3,5,2,10,2022-01-23T07:25:38,2022-01-23T17:59:51,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-24,53.1,44.1,49.7,53.1,43.7,49.5,45,85,0.114,100,16.67,rain,0,0,11.6,8.1,168.2,1014.4,95.9,7.8,38.7,3.2,3,10,2022-01-24T07:25:15,2022-01-24T18:00:43,0.74,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-25,53.1,44.1,49.1,53.1,41.1,47.6,45.7,88.5,0,0,0,rain,0,0,19.2,11.4,26.4,1017.9,99,6.5,33.3,3,2,10,2022-01-25T07:24:50,2022-01-25T18:01:36,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-26,54,42.2,47.3,54,35,43.8,36.8,68.4,0,0,0,rain,0,0,19.7,15,40.5,1025.3,63.2,9.9,154,13.3,6,10,2022-01-26T07:24:24,2022-01-26T18:02:29,0.81,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2022-01-27,58.9,35.1,51.1,58.9,35.1,50.9,37.9,61.8,0,0,0,,0,0,27.7,16.1,28.8,1024.6,83,9.9,102.5,8.7,4,10,2022-01-27T07:23:56,2022-01-27T18:03:22,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,TWB37,72254013904,EAUT2,72254413958"
