name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bergstrom International Airport, Austin, Texas",2021-08-08,92,75.8,83.2,101,75.8,87.6,73.9,75.7,0,0,0,,0,0,32.2,17.2,178.8,1012.9,52.2,9.9,257.4,22,9,,2021-08-08T06:53:49,2021-08-08T20:18:20,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-09,93.8,75.8,83.4,103.3,75.8,87.4,73.8,75.5,0,0,0,,0,0,29.8,19.7,176.4,1014.1,69.5,9.9,217,18.5,8,,2021-08-09T06:54:25,2021-08-09T20:17:27,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-10,92.9,73.1,82.4,100.1,73.1,85.2,72.2,74.8,0,0,0,,0,0,27.7,17.2,179.2,1016.2,43.3,9.6,220.1,19,8,,2021-08-10T06:55:01,2021-08-10T20:16:32,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-11,93.8,67.9,82,102.1,67.9,86.8,73,77.5,0,0,0,,0,0,24.2,16.1,172.9,1016,49.1,8.3,212,18.3,8,,2021-08-11T06:55:37,2021-08-11T20:15:37,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-12,93.8,73.1,82.9,101.2,73.1,86.9,72.6,74.1,0,0,0,,0,0,22.1,15,175,1016,44.4,9.9,246.3,21.3,8,,2021-08-12T06:56:12,2021-08-12T20:14:40,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-13,93.8,70.1,81.9,100.2,70.1,85.4,72.7,76.9,0,0,0,,0,0,19,13.9,150.5,1017.4,57.5,9.7,234.7,20.1,9,,2021-08-13T06:56:48,2021-08-13T20:13:43,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-14,92.9,70.1,81.9,99.1,70.1,85.5,72,75,0,0,0,,0,0,14.5,11.4,93.3,1018,61.8,9.9,224.4,19.4,9,,2021-08-14T06:57:24,2021-08-14T20:12:44,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-15,90,71.1,76.6,97.4,71.1,78.1,72.5,88.6,1.504,100,20.83,rain,0,0,44.7,9.2,353.5,1015.7,71.9,8.9,92.2,8.1,5,,2021-08-15T06:57:59,2021-08-15T20:11:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72253912979,KATT,KRYW,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,72054200166,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-16,91.1,70.1,79.7,96.9,70.1,82.4,71.1,78.1,0,0,0,,0,0,18.8,8.1,162.1,1012.2,43.4,9.6,242.7,20.9,8,,2021-08-16T06:58:34,2021-08-16T20:10:45,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-17,91.1,72,80.4,98.8,72,83.4,73.4,81.2,0.26,100,4.17,rain,0,0,21.9,12.7,175,1011.3,74.3,9.8,178.9,15.7,7,,2021-08-17T06:59:09,2021-08-17T20:09:44,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-18,91.1,75.8,81.8,102,75.8,87.6,76.3,84.7,0,0,0,,0,0,24.2,17.2,155.4,1012.7,89,9.9,184.1,15.9,8,,2021-08-18T06:59:44,2021-08-18T20:08:42,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-19,92.9,78.2,84.7,100.1,78.2,90.3,74.1,73,0,0,0,,0,0,26.4,16.1,173.7,1013.4,52.3,9.8,238.4,20.6,8,,2021-08-19T07:00:19,2021-08-19T20:07:39,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-20,92.9,73.1,82.5,101,73.1,85.9,72.3,74.6,0,0,0,,0,0,23.3,15,173.9,1011.8,49.1,9.9,240.1,20.8,9,,2021-08-20T07:00:54,2021-08-20T20:06:35,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-21,93.8,73.1,83.1,103.3,73.1,87.3,73.4,75.6,0,0,0,,0,0,22.6,13.9,180.4,1012.4,38.7,9.6,229.9,20,9,,2021-08-21T07:01:28,2021-08-21T20:05:31,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
